Source: https://docs.google.com/spreadsheets/d/10ym38nAt6UfymKKZpemMyUmkSki4grXnesZznxNHhLg/export?format=csv&gid=0

---

Fecha del Registro,Fecha del Turno,Turno,Encargado,Tipo de Registro,E/S,Categoría,Producto / Insumo,Código Artículo,Cantidad,Motivo / Detalle / Comentarios,Estado
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,OTRO,Frascos de berenjenas,,9,Faltaba aceite...lote 4-2/24 | ,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,Tapas Amanecer 9,,Asociado a reproceso de: Frascos de berenjenas,,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,DECOMISO,S,OTRO,Tomate perita,,20kg,Podrido | ,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,DECOMISO,S,OTRO,Morrón rojo,,11kg,Mal estado | ,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,DECOMISO,S,OTRO,Bidón q separa aceitunas x 8k,,1,Se utilizo para contener garbanzos para hidratar para viandas | ,Cargado en sistema
28/4/2026 16:35:13,28/4/2026,Mañana,Dani,PRODUCCIÓN,E,MERMELADAS,MERMELADA DE TOMATE X 430 GR,04010007,148,,Cargado en sistema
28/4/2026 16:35:13,28/4/2026,Mañana,Dani,DECOMISO,S,OTRO,Tomate perita,,45,Podrido | ,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA ACELGA,07020001,66,,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA ACELGA INTEGRAL,07020008,60,,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CAPRESE,07020003,120,,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CAPRESE INTEGRAL,07020010,38,,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CEBOLLA CARAMELIZADA,07020006,81,,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CEBOLLA CARAMELIZADA INTEGRAL,07020012,55,,Cargado en sistema
28/4/2026 15:43:42,28/4/2026,Mañana,Ana,DECOMISO,S,OTRO,Tarta de cebolla integral ,,1 unidad ,Pinchada  | ,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,PRODUCCIÓN,E,CONSERVAS,MORRONES E/ESCAB X 450 GR,02030005,146,"Se realizaron opciones para viandas
Arroz con albóndigas(10)
Ternera bourgignon con ñoquis soufle(10)
Guisado de vegetales(10)
Hamburguesas de lentejas gratinadas con calabaza asada(10)",Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,ACEITUNAS,AC NEG C/C N° 0 x 8 KG,05020003,30,Las aceitunas no estaban sumergidas en la salmuera,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,No,,Asociado a reproceso de: AC NEG C/C N° 0 x 8 KG,,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,ACEITUNAS,"AC NEG C/C N° 0 x 1,55 KG",05020002,37,Aceitunas no sumergidas totalmente en la salmuera,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,No,,"Asociado a reproceso de: AC NEG C/C N° 0 x 1,55 KG",,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,ACEITUNAS,"AC VE C/C N° 0 x 1,55 KG",05010002,60,Aceitunas no estaban totalmente sumergidas en la salmuera,Cargado en sistema

27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,No,,"Asociado a reproceso de: AC VE C/C N° 0 x 1,55 KG",,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,ACEITUNAS,"AC VE RELL N° 0 x 1,55 KG",05010010,40,Aceitunas no sumergidas totalmente en salmuera,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,No,,"Asociado a reproceso de: AC VE RELL N° 0 x 1,55 KG",,Cargado en sistema
27/4/2026 23:53:18,27/4/2026,Tarde,Raúl,DECOMISO,S,OTRO,Tomate perita,,645,Podrido,Cargado en sistema
24/4/2026 16:34:14,24/4/2026,Tarde,Dani,PRODUCCIÓN,E,PRODUCTO TERMINADO,MERMELADA DE TOMATE X 430 GR,04010007,87,"Se probó receta de pera, no conforme.",Cargado en sistema
24/4/2026 16:34:14,24/4/2026,Tarde,Dani,DECOMISO,S,INSUMO EXTERNO / OTRO,TOMATE PERITA,10020014,23,"Podrido | Se probó receta de pera, no conforme.",Cargado en sistema
24/4/2026 16:34:14,24/4/2026,Tarde,Dani,DECOMISO,S,INSUMO EXTERNO / OTRO,Pera ,10030003,5,"Prueba receta | Se probó receta de pera, no conforme.",Cargado en sistema
24/4/2026 16:34:14,24/4/2026,Tarde,Dani,DECOMISO,S,INSUMO EXTERNO / OTRO,Azucar,10050001,4,"Prueba receta | Se probó receta de pera, no conforme.",Cargado en sistema
24/4/2026 8:20:52,24/4/2026,Mañana,Ana,PRODUCCIÓN,E,MERMELADAS,MERMELADA DE TOMATE X 430 GR,04010007,151,,Cargado en sistema
24/4/2026 8:20:52,24/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TORTILLA PAPA X 600 GR,07010001,120,,Cargado en sistema
24/4/2026 8:20:52,24/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TORTILLA PAPA Y CEB X 600 GR,07010000,60,,Cargado en sistema
24/4/2026 8:20:52,24/4/2026,Mañana,Ana,PRODUCCIÓN,E,SALSAS,TOMATE TRITURADO X 500 GR,08010001,111,,Cargado en sistema
24/4/2026 8:20:52,24/4/2026,Mañana,Ana,DECOMISO,S,VERDURAS,PAPAS,10020015,23,feas | ,Cargado en sistema
24/4/2026 8:20:52,24/4/2026,Mañana,Ana,DECOMISO,S,VERDURAS,TOMATE PERITA,10020014,277,Podrido | ,Cargado en sistema

